item,intervention,baseline,patched,delta,frac_of_baseline
ops_12+15,necessity_resid_tstar_L8_Cswap,4.194221496582031,-0.6065139770507812,-4.8007354736328125,-1.1446070450845391
ops_12+15,necessity_resid_tstar_L9_Cswap,4.194221496582031,-3.4390029907226562,-7.6332244873046875,-1.8199383350462488
ops_12+15,necessity_resid_tstar_L10_Cswap,4.194221496582031,-3.3809852600097656,-7.575206756591797,-1.806105558031451
ops_12+15,necessity_resid_tstar_L11_Cswap,4.194221496582031,-3.5222387313842773,-7.716460227966309,-1.8397836724299448
ops_8+7,necessity_resid_tstar_L0-4_Cswap,2.4444122314453125,2.408803939819336,-0.03560829162597656,-0.014567220359931833
ops_8+7,necessity_resid_tstar_L5-8_Cswap,2.4444122314453125,-0.1798229217529297,-2.624235153198242,-1.0735648919767535
ops_8+7,necessity_resid_tstar_L9-11_Cswap,2.4444122314453125,-2.686187744140625,-5.1305999755859375,-2.0989094677178723
ops_8+7,necessity_resid_tstar_L5-11_Cswap,2.4444122314453125,-2.686187744140625,-5.1305999755859375,-2.0989094677178723
ops_8+7,necessity_resid_tstar_L0-11_Cswap,2.4444122314453125,-2.686187744140625,-5.1305999755859375,-2.0989094677178723
ops_8+7,sufficiency_resid_tstar_L5-11_Wpatch,-2.686187744140625,2.4444122314453125,5.1305999755859375,-1.9099930698356073
ops_8+7,ablate_writes_tstar_L5-11,2.4444122314453125,-0.7809438705444336,-3.225356101989746,-1.3194812480882914
ops_8+7,ablate_writes_tstar_L9-11,2.4444122314453125,4.464826583862305,2.020414352416992,0.8265440364051762
ops_8+7,ref_E4_necessity_Wwin_L5-11_Cswap,2.4444122314453125,-2.3284053802490234,-4.772817611694336,-1.9525420263800195
ops_8+7,necessity_resid_tstar_L0_Cswap,2.4444122314453125,2.4354963302612305,-0.008915901184082031,-0.003647462187182032
ops_8+7,necessity_resid_tstar_L1_Cswap,2.4444122314453125,2.435244560241699,-0.009167671203613281,-0.0037504603706686145
ops_8+7,necessity_resid_tstar_L2_Cswap,2.4444122314453125,2.4379940032958984,-0.0064182281494140625,-0.002625673389639007
ops_8+7,necessity_resid_tstar_L3_Cswap,2.4444122314453125,2.429734230041504,-0.014678001403808594,-0.006004716068340855
ops_8+7,necessity_resid_tstar_L4_Cswap,2.4444122314453125,2.408803939819336,-0.03560829162597656,-0.014567220359931833
ops_8+7,necessity_resid_tstar_L5_Cswap,2.4444122314453125,1.9740114212036133,-0.4704008102416992,-0.1924392310717429
ops_8+7,necessity_resid_tstar_L6_Cswap,2.4444122314453125,1.5135841369628906,-0.9308280944824219,-0.38079832955673326
ops_8+7,necessity_resid_tstar_L7_Cswap,2.4444122314453125,0.15671539306640625,-2.2876968383789062,-0.9358883125152156
ops_8+7,necessity_resid_tstar_L8_Cswap,2.4444122314453125,-0.1798229217529297,-2.624235153198242,-1.0735648919767535
ops_8+7,necessity_resid_tstar_L9_Cswap,2.4444122314453125,-2.2677249908447266,-4.712137222290039,-1.9277179035812155
ops_8+7,necessity_resid_tstar_L10_Cswap,2.4444122314453125,-2.6157941818237305,-5.060206413269043,-2.0701117218175122
ops_8+7,necessity_resid_tstar_L11_Cswap,2.4444122314453125,-2.686187744140625,-5.1305999755859375,-2.0989094677178723
ops_11+12,necessity_resid_tstar_L0-4_Cswap,1.8689661026000977,1.8590316772460938,-0.009934425354003906,-0.0053154657755339575
ops_11+12,necessity_resid_tstar_L5-8_Cswap,1.8689661026000977,-0.4352588653564453,-2.304224967956543,-1.232887511844605
ops_11+12,necessity_resid_tstar_L9-11_Cswap,1.8689661026000977,-2.582688331604004,-4.451654434204102,-2.3818807778327167
ops_11+12,necessity_resid_tstar_L5-11_Cswap,1.8689661026000977,-2.582688331604004,-4.451654434204102,-2.3818807778327167
ops_11+12,necessity_resid_tstar_L0-11_Cswap,1.8689661026000977,-2.582688331604004,-4.451654434204102,-2.3818807778327167
ops_11+12,sufficiency_resid_tstar_L5-11_Wpatch,-2.582688331604004,1.8689661026000977,4.451654434204102,-1.7236514292993912
ops_11+12,ablate_writes_tstar_L5-11,1.8689661026000977,-1.1152095794677734,-2.984175682067871,-1.5966986655971442
ops_11+12,ablate_writes_tstar_L9-11,1.8689661026000977,2.759439468383789,0.8904733657836914,0.47645238966339126
ops_11+12,ref_E4_necessity_Wwin_L5-11_Cswap,1.8689661026000977,-2.2351207733154297,-4.104086875915527,-2.1959129543365923
ops_11+12,necessity_resid_tstar_L0_Cswap,1.8689661026000977,1.8696298599243164,0.00066375732421875,0.00035514679656058695
ops_11+12,necessity_resid_tstar_L1_Cswap,1.8689661026000977,1.8696603775024414,0.00069427490234375,0.00037147538490820016
ops_11+12,necessity_resid_tstar_L2_Cswap,1.8689661026000977,1.869211196899414,0.00024509429931640625,0.00013113897516676845
